scenario,profile,benchmark_repetition,solution_index,cost,found_at_search_ms,weight,waypoints_csv,samples_csv,smooth_gif,waypoints_gif
23_two_agent_top_to_center,staged_w10_3to4_a3_lazy,4,0,10.0,1.909576,10.0,23_two_agent_top_to_center/solution_00_cost_10_waypoints.csv,23_two_agent_top_to_center/solution_00_cost_10_samples.csv,23_two_agent_top_to_center/solution_00_cost_10_smooth.gif,23_two_agent_top_to_center/solution_00_cost_10_waypoints.gif
23_two_agent_top_to_center,staged_w10_3to4_a3_lazy,4,1,9.0,4.652883,10.0,23_two_agent_top_to_center/solution_01_cost_9_waypoints.csv,23_two_agent_top_to_center/solution_01_cost_9_samples.csv,23_two_agent_top_to_center/solution_01_cost_9_smooth.gif,23_two_agent_top_to_center/solution_01_cost_9_waypoints.gif
23_two_agent_top_to_center,staged_w10_3to4_a3_lazy,4,2,8.0,37.08496,2.2,23_two_agent_top_to_center/solution_02_cost_8_waypoints.csv,23_two_agent_top_to_center/solution_02_cost_8_samples.csv,23_two_agent_top_to_center/solution_02_cost_8_smooth.gif,23_two_agent_top_to_center/solution_02_cost_8_waypoints.gif
24_two_agent_top_swap,staged_w5_3to8_a3,2,0,4.0,0.563156,5.0,24_two_agent_top_swap/solution_00_cost_4_waypoints.csv,24_two_agent_top_swap/solution_00_cost_4_samples.csv,24_two_agent_top_swap/solution_00_cost_4_smooth.gif,24_two_agent_top_swap/solution_00_cost_4_waypoints.gif
24_two_agent_top_swap,staged_w5_3to8_a3,2,1,3.5,1.572501,5.0,24_two_agent_top_swap/solution_01_cost_3p5_waypoints.csv,24_two_agent_top_swap/solution_01_cost_3p5_samples.csv,24_two_agent_top_swap/solution_01_cost_3p5_smooth.gif,24_two_agent_top_swap/solution_01_cost_3p5_waypoints.gif
25_two_agent_cross_lane,staged_w10_3to4_a3_lazy,4,0,3.0,0.167623,10.0,25_two_agent_cross_lane/solution_00_cost_3_waypoints.csv,25_two_agent_cross_lane/solution_00_cost_3_samples.csv,25_two_agent_cross_lane/solution_00_cost_3_smooth.gif,25_two_agent_cross_lane/solution_00_cost_3_waypoints.gif
26_three_agent_corner_relay,staged_w10_3to4_a3_lazy,4,0,8.5,6.511381,10.0,26_three_agent_corner_relay/solution_00_cost_8p5_waypoints.csv,26_three_agent_corner_relay/solution_00_cost_8p5_samples.csv,26_three_agent_corner_relay/solution_00_cost_8p5_smooth.gif,26_three_agent_corner_relay/solution_00_cost_8p5_waypoints.gif
27_three_agent_compact_cycle,narrow_w5_b4,3,0,6.0,1.039703,5.0,27_three_agent_compact_cycle/solution_00_cost_6_waypoints.csv,27_three_agent_compact_cycle/solution_00_cost_6_samples.csv,27_three_agent_compact_cycle/solution_00_cost_6_smooth.gif,27_three_agent_compact_cycle/solution_00_cost_6_waypoints.gif
27_three_agent_compact_cycle,narrow_w5_b4,3,1,5.5,1.834289,1.9,27_three_agent_compact_cycle/solution_01_cost_5p5_waypoints.csv,27_three_agent_compact_cycle/solution_01_cost_5p5_samples.csv,27_three_agent_compact_cycle/solution_01_cost_5p5_smooth.gif,27_three_agent_compact_cycle/solution_01_cost_5p5_waypoints.gif
28_three_agent_center_swap,fast_w10_b3_a3,5,0,8.0,3.813436,10.0,28_three_agent_center_swap/solution_00_cost_8_waypoints.csv,28_three_agent_center_swap/solution_00_cost_8_samples.csv,28_three_agent_center_swap/solution_00_cost_8_smooth.gif,28_three_agent_center_swap/solution_00_cost_8_waypoints.gif
28_three_agent_center_swap,fast_w10_b3_a3,5,1,7.5,14.988059,1.4,28_three_agent_center_swap/solution_01_cost_7p5_waypoints.csv,28_three_agent_center_swap/solution_01_cost_7p5_samples.csv,28_three_agent_center_swap/solution_01_cost_7p5_smooth.gif,28_three_agent_center_swap/solution_01_cost_7p5_waypoints.gif
29_three_agent_lane_mix,staged_w10_3to4_a3_lazy,1,0,5.0,0.467743,10.0,29_three_agent_lane_mix/solution_00_cost_5_waypoints.csv,29_three_agent_lane_mix/solution_00_cost_5_samples.csv,29_three_agent_lane_mix/solution_00_cost_5_smooth.gif,29_three_agent_lane_mix/solution_00_cost_5_waypoints.gif
29_three_agent_lane_mix,staged_w10_3to4_a3_lazy,1,1,4.5,4.708126,10.0,29_three_agent_lane_mix/solution_01_cost_4p5_waypoints.csv,29_three_agent_lane_mix/solution_01_cost_4p5_samples.csv,29_three_agent_lane_mix/solution_01_cost_4p5_smooth.gif,29_three_agent_lane_mix/solution_01_cost_4p5_waypoints.gif
30_three_agent_corner_cycle,staged_w5_3to4_a3,3,0,5.5,0.883107,5.0,30_three_agent_corner_cycle/solution_00_cost_5p5_waypoints.csv,30_three_agent_corner_cycle/solution_00_cost_5p5_samples.csv,30_three_agent_corner_cycle/solution_00_cost_5p5_smooth.gif,30_three_agent_corner_cycle/solution_00_cost_5p5_waypoints.gif
30_three_agent_corner_cycle,staged_w5_3to4_a3,3,1,5.0,13.822418,4.9,30_three_agent_corner_cycle/solution_01_cost_5_waypoints.csv,30_three_agent_corner_cycle/solution_01_cost_5_samples.csv,30_three_agent_corner_cycle/solution_01_cost_5_smooth.gif,30_three_agent_corner_cycle/solution_01_cost_5_waypoints.gif
